datestamp,identifier,subject,title,publisher,date,type,language,source,rights,creator,format,format - mediatype,format - subtype,relation,contributor,description,coverage,record id,record - header - setSpec
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-3175-D,webservice,SynCoP - Dependency Parser,Digitales Wörterbuch der deutschen Sprache,2016-07-29T15:34:22Z,text,,,,"Didakowski, Jörg",,,,WebLichtWebServices,WebLichtWebServices,WebLichtWebServices,,WebLichtWebServices:1,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-3188-7,,WebLichtWebServices,WebLichtWebServices,2014-01-20T15:36:36Z,,,,,WebLichtWebServices,,,,,,,,WebLichtWebServices:10,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-3189-6,,WebLichtWebServices,WebLichtWebServices,2014-01-20T15:36:40Z,,,,,WebLichtWebServices,,,,,,,,WebLichtWebServices:11,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-318C-3,webservice,dlexDB Types,Lexikalische Datenbank (dlexDB),2016-09-06T15:36:12Z,text,,,,"Pohl, Edmund",,,,WebLichtWebServices,WebLichtWebServices,WebLichtWebServices,,WebLichtWebServices:12,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-318D-2,webservice,dlexDB Types: Frequency per million,Lexikalische Datenbank (dlexDB),2016-08-16T15:36:12Z,text,,,,"Pohl, Edmund",,,,WebLichtWebServices,WebLichtWebServices,WebLichtWebServices,,WebLichtWebServices:13,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-318F-0,webservice,dlexDB Types: Syllabification,Lexikalische Datenbank (dlexDB),2016-08-16T15:36:12Z,text,,,,"Pohl, Edmund",,,,WebLichtWebServices,WebLichtWebServices,WebLichtWebServices,,WebLichtWebServices:14,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-3190-D,webservice,dlexDB Types: Frequency absolute,Lexikalische Datenbank (dlexDB),2016-08-16T15:36:12Z,text,,,,"Pohl, Edmund",,,,WebLichtWebServices,WebLichtWebServices,WebLichtWebServices,,WebLichtWebServices:15,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-3192-B,webservice,dlexDB Lemmas,Lexikalische Datenbank (dlexDB),2016-09-06T15:36:12Z,text,,,,"Pohl, Edmund",,,,WebLichtWebServices,WebLichtWebServices,WebLichtWebServices,,WebLichtWebServices:16,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-3193-A,webservice,dlexDB Lemmas: Frequency absolute,Lexikalische Datenbank (dlexDB),2016-08-16T15:36:12Z,text,,,,"Pohl, Edmund",,,,WebLichtWebServices,WebLichtWebServices,WebLichtWebServices,,WebLichtWebServices:17,WebLichtWebServices
2022-12-12T11:38:53Z,https://hdl.handle.net/21.11120/0000-0008-3194-9,webservice,dlexDB Lemmas: Frequency per million,Lexikalische Datenbank (dlexDB),2016-08-16T15:36:12Z,text,,,,"Pohl, Edmund",,,,WebLichtWebServices,WebLichtWebServices,WebLichtWebServices,,WebLichtWebServices:18,WebLichtWebServices
