record - header - datestamp,record - metadata - oai_dc:dc - dc:identifier,record - metadata - oai_dc:dc - dc:source,record - metadata - oai_dc:dc - dc:language,record - metadata - oai_dc:dc - dc:title - xml:lang,record - metadata - oai_dc:dc - dc:title,record - metadata - oai_dc:dc - dc:format,record - metadata - oai_dc:dc - dc:subject - xml:lang,record - metadata - oai_dc:dc - dc:subject,record - metadata - oai_dc:dc - dc:publisher,record - metadata - oai_dc:dc - dc:type,record - metadata - oai_dc:dc - dc:creator,record - metadata - oai_dc:dc - dc:coverage,record - metadata - oai_dc:dc - dc:description,record - metadata - oai_dc:dc - dc:description - xml:lang,record - metadata - oai_dc:dc - dc:rights,record - metadata - oai_dc:dc - dc:relation,record - header - identifier
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_DE_075.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_DE_075.cmdi
,GEWISS_R_SV_DE_075.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_DE_077.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_DE_077.cmdi
,GEWISS_R_SV_DE_077.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_DE_079.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_DE_079.cmdi
,GEWISS_R_SV_DE_079.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_DE_121.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_DE_121.cmdi
,GEWISS_R_SV_DE_121.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_DE_122.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_DE_122.cmdi
,GEWISS_R_SV_DE_122.cmdi,,,,,,,,,,,,,,,,
2021-01-12T16:49:51Z,clarin-ids:gewiss.GEWISS_R_SV_PL_001.cmdi,,,,,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:gewiss.GEWISS_R_SV_PL_001.cmdi
,GEWISS_R_SV_PL_001.cmdi,,,,,,,,,,,,,,,,
