record - header - datestamp,record - metadata - oai_dc:dc - dc:identifier,record - metadata - oai_dc:dc - dc:title - xml:lang,record - metadata - oai_dc:dc - dc:title,record - metadata - oai_dc:dc - dc:subject,record - metadata - oai_dc:dc - dc:language,record - header - identifier
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00020.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00020.cmdi
,http://hdl.handle.net/10932/00-03BC-733B-9700-7B01-D,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00021.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00021.cmdi
,http://hdl.handle.net/10932/00-03BC-733B-A810-7C01-0,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00022.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00022.cmdi
,http://hdl.handle.net/10932/00-03BC-733B-B910-7D01-5,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00023.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00023.cmdi
,http://hdl.handle.net/10932/00-03BC-733B-CA10-7E01-D,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00024.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00024.cmdi
,http://hdl.handle.net/10932/00-03BC-733D-BCA0-7F01-6,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00026.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00026.cmdi
,http://hdl.handle.net/10932/00-03BC-733D-DE50-8001-A,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00027.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00027.cmdi
,http://hdl.handle.net/10932/00-03BC-733D-EF40-8101-1,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00029.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00029.cmdi
,http://hdl.handle.net/10932/00-03BC-733D-FFF0-8201-0,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00032.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00032.cmdi
,http://hdl.handle.net/10932/00-03BC-733E-2100-8401-6,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00030.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00030.cmdi
,http://hdl.handle.net/10932/00-03BC-733E-1050-8301-A,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00033.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00033.cmdi
,http://hdl.handle.net/10932/00-03BC-733E-31B0-8501-B,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00034.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00034.cmdi
,http://hdl.handle.net/10932/00-03BC-733E-4260-8601-3,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00035.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00035.cmdi
,http://hdl.handle.net/10932/00-03BC-733E-64C0-8701-6,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00036.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00036.cmdi
,http://hdl.handle.net/10932/00-03BC-733E-8650-8801-D,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00037.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00037.cmdi
,http://hdl.handle.net/10932/00-03BC-733E-A930-8901-8,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00038.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00038.cmdi
,http://hdl.handle.net/10932/00-03BC-733E-B990-8A01-5,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00039.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00039.cmdi
,http://hdl.handle.net/10932/00-03BC-733E-CA40-8B01-A,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00040.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00040.cmdi
,http://hdl.handle.net/10932/00-03BC-733E-DD50-8C01-B,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00041.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00041.cmdi
,http://hdl.handle.net/10932/00-03BC-733E-EDE0-8D01-9,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00042.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00042.cmdi
,http://hdl.handle.net/10932/00-03BC-733E-FEC0-8E01-F,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--.cmdi,deu,Monash Corpus of Australian German,gesprochene deutsche Sprache,deu,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--.cmdi
,http://hdl.handle.net/10932/00-03BC-7338-01E0-6701-2,,,Dialekt,eng,
,,,,Sprachinsel,,
,,,,Australien,,
,,,,Tonaufnahme,,
,,,,Transkript,,
,,,,Wortliste,,
,,,,Lemmaliste,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00001.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00001.cmdi
,http://hdl.handle.net/10932/00-03BC-7338-3190-6801-9,,,,,
2021-01-12T16:46:46Z,clarin-ids:AD--4.AD--_E_00002.cmdi,deu,Monash Corpus of Australian German,,,oai:repos.ids-mannheim.de:clarin-ids:AD--4.AD--_E_00002.cmdi
,http://hdl.handle.net/10932/00-03BC-7338-4200-6901-7,,,,,
