record - header - datestamp,record - metadata - oai_dc:dc - dc:identifier,record - metadata - oai_dc:dc - dc:format,record - metadata - oai_dc:dc - dc:title - xml:lang,record - metadata - oai_dc:dc - dc:title,record - metadata - oai_dc:dc - dc:type,record - metadata - oai_dc:dc - dc:type - xml:lang,record - metadata - oai_dc:dc - dc:description - xml:lang,record - metadata - oai_dc:dc - dc:description,record - metadata - oai_dc:dc - dc:language,record - metadata - oai_dc:dc - dc:coverage,record - metadata - oai_dc:dc - dc:subject - xml:lang,record - metadata - oai_dc:dc - dc:subject,record - metadata - oai_dc:dc - dc:creator,record - metadata - oai_dc:dc - dc:publisher,record - metadata - oai_dc:dc - dc:rights,record - header - identifier
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05509.cmdi,,deu,Geplante Aufnahmeaktion,,,,,deu,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05509.cmdi
,,,,,,,,,deu,,,,,,,
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05510.cmdi,,deu,Geplante Aufnahmeaktion,,,,,deu,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05510.cmdi
,,,,,,,,,deu,,,,,,,
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05511.cmdi,,deu,Geplante Aufnahmeaktion,,,,,deu,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05511.cmdi
,,,,,,,,,deu,,,,,,,
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05512.cmdi,,deu,Geplante Aufnahmeaktion,,,,,deu,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05512.cmdi
,,,,,,,,,deu,,,,,,,
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05513.cmdi,,deu,Geplante Aufnahmeaktion,,,,,deu,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05513.cmdi
,,,,,,,,,deu,,,,,,,
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05514.cmdi,,deu,Geplante Aufnahmeaktion,,,,,deu,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05514.cmdi
,,,,,,,,,deu,,,,,,,
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05515.cmdi,,deu,Geplante Aufnahmeaktion,,,,,deu,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05515.cmdi
,,,,,,,,,deu,,,,,,,
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05516.cmdi,,deu,Geplante Aufnahmeaktion,,,,,deu,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05516.cmdi
,,,,,,,,,deu,,,,,,,
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05517.cmdi,,deu,Geplante Aufnahmeaktion,,,,,deu,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05517.cmdi
,,,,,,,,,deu,,,,,,,
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05518.cmdi,,deu,Geplante Aufnahmeaktion,,,,,deu,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05518.cmdi
,,,,,,,,,deu,,,,,,,
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05519.cmdi,,deu,Geplante Aufnahmeaktion,,,,,deu,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05519.cmdi
,,,,,,,,,deu,,,,,,,
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05520.cmdi,,deu,Geplante Aufnahmeaktion,,,,,deu,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05520.cmdi
,,,,,,,,,deu,,,,,,,
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05521.cmdi,,deu,Geplante Aufnahmeaktion,,,,,deu,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05521.cmdi
,,,,,,,,,deu,,,,,,,
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05522.cmdi,,deu,Geplante Aufnahmeaktion,,,,,deu,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05522.cmdi
,,,,,,,,,deu,,,,,,,
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05523.cmdi,,deu,Geplante Aufnahmeaktion,,,,,deu,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05523.cmdi
,,,,,,,,,deu,,,,,,,
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05524.cmdi,,deu,Geplante Aufnahmeaktion,,,,,deu,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05524.cmdi
,,,,,,,,,deu,,,,,,,
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05525.cmdi,,deu,Geplante Aufnahmeaktion,,,,,deu,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05525.cmdi
,,,,,,,,,deu,,,,,,,
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05526.cmdi,,deu,Geplante Aufnahmeaktion,,,,,deu,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05526.cmdi
,,,,,,,,,deu,,,,,,,
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05527.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05527.cmdi
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05528.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05528.cmdi
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05539.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05539.cmdi
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05540.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05540.cmdi
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05541.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05541.cmdi
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05542.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05542.cmdi
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05543.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05543.cmdi
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05544.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05544.cmdi
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05545.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05545.cmdi
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05546.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05546.cmdi
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05547.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05547.cmdi
2021-01-12T16:53:02Z,clarin-ids:zw.ZW--_E_05548.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05548.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05529.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05529.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05530.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05530.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05531.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05531.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05532.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05532.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05533.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05533.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05534.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05534.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05535.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05535.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05536.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05536.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05537.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05537.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05538.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05538.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05559.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05559.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05560.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05560.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05561.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05561.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05562.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05562.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05563.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05563.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05564.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05564.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05565.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05565.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05566.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05566.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05567.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05567.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05568.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05568.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05579.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05579.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05580.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05580.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05581.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05581.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05582.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05582.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05583.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05583.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05584.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05584.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05585.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05585.cmdi
2021-01-12T16:53:03Z,clarin-ids:zw.ZW--_E_05586.cmdi,,deu,Geplante Aufnahmeaktion,,,,,,,,,,,,oai:repos.ids-mannheim.de:clarin-ids:zw.ZW--_E_05586.cmdi
