datestamp,relation,type,type - dcmi recommendation,title,creator,language,identifier,format,format - mediatype,format - subtype,date,description,source,publisher,rights,contributor,subject,record id,record - header - setSpec
2024-04-17T18:28:27Z,http://cts.informatik.uni-leipzig.de/,collection,collection,Digital Muqtabas,,arb,urn:cts:muqtabas:oclc,application/xml,application,xml,,,https://github.com/tillgrallert/digital-muqtabas,,CC BY SA,,,cts-muqtabas-urn:cts:muqtabas:oclc,cts
,urn:cts:muqtabas:oclc.4770057679_i.1.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.10.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.11.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.12.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.13.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.14.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.15.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.16.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.17.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.18.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.19.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.2.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.20.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.21.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.22.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.23.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.24.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.25.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.26.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.27.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.28.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.29.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.3.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.30.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.31.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.32.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.33.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.34.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.35.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.36.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.37.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.38.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.39.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.4.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.40.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.41.TEIP5:,,,,,,,,,,,,,,,,,,
,urn:cts:muqtabas:oclc.4770057679_i.42.TEIP5:,,,,,,,,,,,,,,,,,,
