datestamp,subject,relation,identifier,rights,language,contributor,type,type - dcmi recommendation,description,source,title,creator,date,format,format - mediatype,format - subtype,publisher,coverage,record id
2020-10-07T13:30:10Z,gesture research,"Kipp, M. (to appear) Multimedia Annotation, Querying and Analysis in ANVIL. In: M. Maybury (ed.) Multimedia Information Extraction, Chapter 19, IEEE Computer Society Press.",clarind-uds:anvil,,,Michael Kipp,software,software,"ANVIL is a free video annotation tool. It offers multi-layered annotation based on a user-defined coding scheme. During coding the user can see color-coded elements on multiple tracks in time-alignment. Some special features are cross-level links, non-temporal objects, timepoint tracks, coding agreement analysis and a project tool for managing whole corpora of annotation files.",,Anvil The video annotation research tool,"Michael Kipp
Hochschule Augsburg
An der Hochschule 1
86161 Augsburg
michael.kipp@hs-augsburg.de",,,,,,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:anvil
,video annotation,"Kipp, M. (to appear) ANVIL: A Universal Video Research Tool. In: J. Durand, U. Gut, G. Kristofferson (Hrsg.) Handbook of Corpus Phonology, Oxford University Press.",hdl:11858/00-246C-0000-0005-BD0D-2,,,Quan Nguyen,,,"ANVIL ist ein frei erhältiches Annotationstool. Es bietet die Möglichkeit zur mehrdimensionalen Annotation basierend auf einem benutzerdefinierten Kodierungsschema. Während des Kodierens sieht der Benutzer farbkodierte Elemente zeitlich alineiert auf mehreren Spuren. Spezielle Features des Werkzeugs sind ebenenübergreifende Links, nicht-temporale Objekte, Zeitspuren, Analyse der Übereinstimmung der Kodierung und ein Projektwerkzeug für die Verwaltung von Annotationsdateien ganzer Korpora.",,,,,,,,,,
,time-alignment,"Heloir, A., Neff, M. and Kipp, M. (2010) Exploiting Motion Capture for Virtual Human Animation: Data Collection and Annotation Visualization. In: Proc. of the LREC Workshop on ""Multimodal Corpora: Advances in Capturing, Coding and Analyzing Multimodality"", ELDA.",,,,Gabriel Manolache,,,,,,,,,,,,,
,multimodal corpora,"Kipp, M. (2008) Spatiotemporal Coding in ANVIL. Proceedings of the 6th international conference on Language Resources and Evaluation (LREC-08).",,,,,,,,,,,,,,,,,
,phonology,"Kipp, M. (2004), Gesture Generation by Imitation - From Human Behavior to Computer Character Animation, Boca Raton, Florida: Dissertation.com. (My published PhD thesis.)",,,,,,,,,,,,,,,,,
,,"Kipp, M. (2001) Anvil - A Generic Annotation Tool for Multimodal Dialogue. Proceedings of the 7th European Conference on Speech Communication and Technology (Eurospeech), pp. 1367-1370.",,,,,,,,,,,,,,,,,
2020-10-07T13:30:10Z,corpus linguistics,Tagset: http://www.cis.uni-muenchen.de/~schmid/tools/TreeTagger/data/Lamap-Tagset.pdf,clarind-uds:clarelatin,Copyrighted,lat,Mercedes García Ferrer,collection,collection,"This corpus offers a continuum of different text types (registers) from written discourse. More precisely, it includes Latin texts from 20 different registers of written discourse including apology, biography, comedy, didactic, doctrinal, epic, epistolary, essay, fable, history, legislative, lyric, mythology, novel, oratory, philosophy, satire, tragedy. The texts are imported from different Latin libraries on the Web. The whole number of words contained in the corpus comprise ca. 19,5 Mio. The corpus is pre-annotated on several levels, which include information on tokens, lemmas, morpho-syntactic features (e.g. case, number, etc.), parts-of-speech, as well as and sentence boundaries. Tokenization, lemmatization, PoS tagging with TreeTagger (Schmid, 1994, 1995) using Gabrielle Bandolini's parameters and sentence boundary detection with CLTK (Kyle P. Johnson et al., 2014-2017). The corpus is encoded in the CWB format (CWB, 2010) and can be queried with Corpus Query Processor (CQP) (Evert, 2005).",Augustana: https://www.hs-augsburg.de/~harsch/a_chron.html,CLARE,Galatea Team,2018-01-01T00:00:00Z,text/xml,text,xml,Universität des Saarlandes,Spain,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:clarelatin
,linguistics,,hdl:21.11119/0000-0001-614D-C,,,María Teresa Cases Fandos,,,,Bibiloteca italiana: http://ww2.bibliotecaitaliana.it/exist/bibit/,,,,,,,,,
,latin,,,,,Maria Teresa Beltrán Chabrera,,,,Camena; https://www2.uni-mannheim.de/mateo/camenahtdocs/camena_e.html,,,,,,,,,
,written language,,,,,Jose Manuel Martinez Martinez,,,,Corpus corporum: http://www.mlat.uzh.ch/MLS/index.php?lang=0,,,,,,,,,
