datestamp,type,type - dcmi recommendation,format,format - mediatype,format - subtype,subject,title,date,identifier,source,rights,record - header - setSpec,record id
2018-09-14T14:17:27Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Soll die Türkei in die EU?  (2013),2013-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=DE_2013_Riedel_PolitikUndCo_241__248,"-: ""Soll die Türkei in die EU?"" (2013), Kreisfreie Stadt Bamberg: - 2013.",Open Access,WorldViews,DE_2013_Riedel_PolitikUndCo_241__248_ger
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T14:17:27Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Soll die Türkei in die EU?  (2013),2013-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=DE_2013_Riedel_PolitikUndCo_241__248,"-: ""Soll die Türkei in die EU?"" (2013), Kreisfreie Stadt Bamberg: - 2013.",Open Access,WorldViews,DE_2013_Riedel_PolitikUndCo_241__248_eng
,Text,,application/pdf,application,pdf,,,,,,,,
2018-09-14T15:42:02Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The Portuguese take possession of the land of brazilwood,1976-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=BR_1976_Abramo_EnsinoCriativoDeHistoriaDoBrasilColonia_13,"-: ""The Portuguese take possession of the land of brazilwood"", São Paulo: - 1976.",Open Access,WorldViews,BR_1976_Abramo_EnsinoCriativoDeHistoriaDoBrasilColonia_13_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T15:42:02Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The Portuguese take possession of the land of brazilwood,1976-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=BR_1976_Abramo_EnsinoCriativoDeHistoriaDoBrasilColonia_13,"-: ""The Portuguese take possession of the land of brazilwood"", São Paulo: - 1976.",Open Access,WorldViews,BR_1976_Abramo_EnsinoCriativoDeHistoriaDoBrasilColonia_13_por
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T15:42:02Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The Portuguese take possession of the land of brazilwood,1976-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=BR_1976_Abramo_EnsinoCriativoDeHistoriaDoBrasilColonia_13,"-: ""The Portuguese take possession of the land of brazilwood"", São Paulo: - 1976.",Open Access,WorldViews,BR_1976_Abramo_EnsinoCriativoDeHistoriaDoBrasilColonia_13_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-10-09T14:42:51Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Einheit und Vielfalt der Religionen im Europa des 16. Jahrhunderts,2006-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=FR_2006_BourelChevallierDufresnoy_Histoire2e_113,"-: Einheit und Vielfalt der Religionen im Europa des 16. Jahrhunderts, Paris: - 2006.",Open Access,WorldViews,FR_2006_BourelChevallierDufresnoy_Histoire2e_113_ger
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-10-09T14:42:51Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Einheit und Vielfalt der Religionen im Europa des 16. Jahrhunderts,2006-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=FR_2006_BourelChevallierDufresnoy_Histoire2e_113,"-: Einheit und Vielfalt der Religionen im Europa des 16. Jahrhunderts, Paris: - 2006.",Open Access,WorldViews,FR_2006_BourelChevallierDufresnoy_Histoire2e_113_eng
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-10-09T14:42:51Z,Source,Text,image/jpeg,image,jpeg,WorldViews,Einheit und Vielfalt der Religionen im Europa des 16. Jahrhunderts,2006-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=FR_2006_BourelChevallierDufresnoy_Histoire2e_113,"-: Einheit und Vielfalt der Religionen im Europa des 16. Jahrhunderts, Paris: - 2006.",Open Access,WorldViews,FR_2006_BourelChevallierDufresnoy_Histoire2e_113_fre
,Text,,application/pdf,application,pdf,EurViews,,,,,,EurViews,
2018-09-14T16:54:31Z,Source,Text,image/jpeg,image,jpeg,WorldViews,The Southern Continents,1967-01-01T00:00:00Z,http://worldviews.gei.de/piresolver?id=MY_1967_Burrows_TheSouthernContinents_5__6,"-: ""The Southern Continents"", Kuala Lumpur: - 1967.",Open Access,WorldViews,MY_1967_Burrows_TheSouthernContinents_5__6_ger
,Text,,application/pdf,application,pdf,,,,,,,,
