datestamp,identifier,creator,format,format - mediatype,format - subtype,title,rights,date,relation,subject,description,language,type,type - dcmi recommendation,publisher,source,contributor,record id,record - header - setSpec
2021-03-23T11:53:22Z,hdl:21.11113/0000-000D-FEA9-7,JSSAL,text/vnd.dariah.dhrep.collection+turtle,text,turtle,"Aksoy, H.",JSSAL,2021-03-23T11:53:22Z,,,"In this study, it is aimed to examine the predictive effect of grammar and vocabulary variables on writing skills of those who learn Turkish as a foreign language and to determine the significance of the variables that affect the writing skills. The study was conducted according to the relational scanning model, one of the quantitative research models. The data of the study were obtained from a total of 100 students with B1 and B2 language levels in Turkish Teaching Centers in the spring semester of the 2019-2020 academic year. In the analysis of the data obtained, descriptive statistics such as mean, t-test and one-way analysis of variance (ANOVA) and regression and correlation analysis from hypothesis tests were used. As a result of the study, it was observed that the students obtained a result close to the middle level in the grammar test, grammar and writing skills did not differ according to gender, but the probability value calculated for ""Vocabulary"" changed in favor of men. It has been seen that students at B2 language level get higher scores than students at B1 language level, level of knowledge of the language, vocabulary and writing skills levels of older age groups that favor change and increasing life expectancy in Turkey in grammar, vocabulary and writing skills has been shown to increase. It has been observed that language and vocabulary have a positive and significant effect on writing skill, and there is a positive, significant and high relationship between grammar and vocabulary.",,,,,,,hdl:21.11113/0000-000D-FEA9-7,hdl:21.11113/0000-000D-FEA9-7
,doi:10.20375/0000-000D-FEA9-7,,,,,,,,,,,,,,,,,,
2020-06-24T15:19:09Z,hdl:21.11113/0000-000C-D92E-D,"Fernández de Avellaneda, Alonso",text/plain,text,plain,Avellaneda-09.txt,CC BY,2020-06-24T15:19:09Z,DOI: 10.17175/2018_004,Romanistik,"The collection of the second volume of the ""Quijote apocrífo"" in chapters by Avellaneda is originally extracted from Biblioteca Virtual de Miguel de Cervantes: http://www.cervantesvirtual.com/obra-visor/segundo-tomo-del-ingenioso-hidalgo-don-quijote-de-la-mancha--0/html/ and converted to plaintext format. For the process of digitization from the 1614 edition see the scan of the original book at BVMC: http://www.cervantesvirtual.com/obra-visor/segundo-tomo-del-ingenioso-hidalgo-don-quixote-de-la-mancha-que-contiene-su-tercera-salida-y-es-la-quinta-parte-de-sus-auenturas--0/html/ff3b6b9e-82b1-11df-acc7-002185ce6064.html . For the facts and doubt of printing the book initially in 1614 in Tarragona see the article by the Cervantes/Avellaneda specialist Luis Gómez Canseco: Avellaneda en la imprenta: Tarragona. In: El otro Don Quijote. La continuación de Fernández de Avellaneda y sus efectos. Hg. von Hanno Ehrlicher. Augsburg 2016, S. 11–26. URN: urn:nbn:de:bvb:384-opus4-37049 .",spa,,,,,,hdl:21.11113/0000-000C-D92E-D,hdl:21.11113/0000-000C-D92E-D
,doi:10.20375/0000-000C-D92E-D,http://viaf.org/viaf/77109993,,,,,,,hdl:21.11113/0000-000C-D929-2,,"The collection of the secons volume of the ""Quijote apocrífo"" by Avellaneda is originally extracted from Biblioteca Virtual de Miguel de Cervantes: http://www.cervantesvirtual.com/obra-visor/segundo-tomo-del-ingenioso-hidalgo-don-quijote-de-la-mancha--0/html/ and converted to plaintext format. For the process of digitization from the 1614 edition see the scan of the original book at BVMC: http://www.cervantesvirtual.com/obra-visor/segundo-tomo-del-ingenioso-hidalgo-don-quixote-de-la-mancha-que-contiene-su-tercera-salida-y-es-la-quinta-parte-de-sus-auenturas--0/html/ff3b6b9e-82b1-11df-acc7-002185ce6064.html . For the facts and doubt of printing the book initially in 1614 in Tarragona see the article by the Cervantes/Avellaneda specialist Luis Gómez Canseco: Avellaneda en la imprenta: Tarragona. In: El otro Don Quijote. La continuación de Fernández de Avellaneda y sus efectos. Hg. von Hanno Ehrlicher. Augsburg 2016, S. 11–26. URN: urn:nbn:de:bvb:384-opus4-37049",,,,,,,,
2018-03-01T11:11:53Z,doi:10.20375/0000-000B-CADF-7,"Klaffki, Lisa",application/vnd.oasis.opendocument.text,application,vnd.oasis.opendocument.text,abstract,CC BY SA,2018-03-01T11:11:53Z,hdl:21.11113/0000-000B-CADD-9,,,,,,,,,hdl:21.11113/0000-000B-CADF-7,hdl:21.11113/0000-000B-CADF-7
,hdl:21.11113/0000-000B-CADF-7,"Steyer, Timo",,,,,,,,,,,,,,,,,
2017-12-05T12:54:32Z,hdl:21.11113/0000-000B-C975-F,"Mache, Beata",pdf,application,pdf,Universal-Kirchenzeitung-Faksimile_021.pdf,CC 0,2017-12-05T12:54:32Z,hdl:21.11113/0000-000B-C8F2-2,,,deu,,,,,,hdl:21.11113/0000-000B-C975-F,hdl:21.11113/0000-000B-C975-F
,doi:10.20375/0000-000B-C975-F,"Honinghaus, Julius Vinzent",application/pdf,application,pdf,,,,,,,,,,,,,,
2017-12-05T12:52:12Z,hdl:21.11113/0000-000B-C8F4-0,"Mache, Beata",text/vnd.dariah.dhrep.collection+turtle,text,turtle,Universal-Kirchenzeitung - XML,CC BY,2017-12-05T12:52:12Z,hdl:21.11113/0000-000B-C8F2-2,Kirchengeschichte,,deu,Text,Text,,http://www.deutsch-juedische-publizistik.de/universal-kirchenzeitung.shtml,,hdl:21.11113/0000-000B-C8F4-0,hdl:21.11113/0000-000B-C8F4-0
,doi:10.20375/0000-000B-C8F4-0,,pdf,application,pdf,,,,,Pressegeschichte,,,,,,,,,
2020-11-27T14:09:51Z,hdl:21.11113/0000-000D-D781-E,Heiko Pleines,text/plain,text,plain,oligarchs-UA-pleines-DocuDataCollection.pdf,individual license,2020-11-27T14:09:51Z,hdl:21.11113/0000-000D-D778-A,,,,,,,,,hdl:21.11113/0000-000D-D781-E,hdl:21.11113/0000-000D-D781-E
,doi:10.20375/0000-000D-D781-E,,,,,,,,,,,,,,,,,,
2018-05-08T21:02:48Z,hdl:21.11113/0000-000B-CB52-4,Daniel Kurzawe,,,,Gephi Projekt,CC BY SA,2018-05-08T21:02:48Z,hdl:21.11113/0000-000B-CB4E-A,,"Gephi Datei, anonymisiert",,,,,,,hdl:21.11113/0000-000B-CB52-4,hdl:21.11113/0000-000B-CB52-4
,doi:10.20375/0000-000B-CB52-4,,,,,,,,,,,,,,,,,,
2020-12-14T14:52:16Z,hdl:21.11113/0000-000D-F7CE-5,https://orcid.org/0000-0003-1356-9979,.xlsx,,,1.) Statistische Erhebungen,CC BY SA,2020-12-14T14:52:16Z,hdl:21.11113/0000-000D-F7CD-6,Http://d-nb.Info/gnd/5186608-0,"Im Formblatt ""Statistische Erhebungen"" wurden regelmäßig die Mitglieder der Stadtwehr Bremen zahlenmäßig erfasst. Darüber hinaus wurde die Gesamtzahl nach Berufsgruppen aufgeteilt und die Summe der Anmeldungen fortlaufend aktualisiert. Diese Kollektion beinhaltet die transkribierten Formblätter, die in einer .ods-/.xlsx-Datei zusammengefasst sind. Außerdem wurde zweimal das Alter der Mitglieder erfasst, was sich in der zweiten Datei findet. Über Elias_Angele_public und die jeweilige .sha256-Datei lässt sich die Originalität der Dateien überprüfen (OpenSSL). Graphische Darstellungen der Statistiken finden sich in Angele, Elias: 'Schützt die Revolution!' Die Stadtwehr Bremen 1919–1921: Geschichte und Quellen, Stuttgart: Franz Steiner Verlag, 2021.",deu,,,,"Staatsarchiv Bremen (StAB) 6,16-E.19.i.1.2.",,hdl:21.11113/0000-000D-F7CE-5,hdl:21.11113/0000-000D-F7CE-5
,,,,text,xlsx,,,,,,,,,,,,,,
,doi:10.20375/0000-000D-F7CE-5,Stadtwehr Bremen,text/vnd.dariah.dhrep.collection+turtle,text,turtle,,CC BY SA,,,Http://d-nb.Info/gnd/5293421-4,,,,,,,,,
,,Elias Angele,.ods,,,,,,,Zentralstelle Für Einwohnerwehren,,,,,,,,,
,,,,text,ods,,,,,,,,,,,,,,
,,,.publickey,,,,,,,Bremer Stadtwehr,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,.sha256,,,,,,,Http://d-nb.Info/gnd/141594748,,,,,,,,,
,,,,,,,,,,"Caspari, Walter",,,,,,,,,
,,,,,,,,,,www.Geonames.Org/2944388/bremen.Html,,,,,,,,,
,,,,,,,,,,Einwohnerwehr,,,,,,,,,
,,,,,,,,,,Bremen,,,,,,,,,
2020-09-16T21:22:25Z,doi:10.20375/0000-000D-1D2B-4,"Jörg Lehmann (Eberhard Karls Universität Tübingen), data curator",application/vnd.ms-excel,application,ms-excel,Data Sheets,CC BY,2020-09-16T21:22:25Z,hdl:21.11113/0000-000D-1CFF-6,Filología Hispánica,This file provides the a list of all avant-garde contributors who had died before their contributions were published or who died in the year where this publication took place.,eng,Hojas De Datos,Dataset,,,,hdl:21.11113/0000-000D-1D2B-4,hdl:21.11113/0000-000D-1D2B-4
,hdl:21.11113/0000-000D-1D2B-4,"Judith Rideout (Eberhard Karls Universität Tübingen), data collector",.csv,text,,Revistas culturales históricas en lengua española desde el modernismo hasta las vanguardias: procesos de modernización y formación de redes transnacionales,CC BY,,,Humanidades Digitales,,spa,Data,Dataset,,,,,
,,"Claudia Cedeño Báez (Eberhard Karls Universität Tübingen), data collector",,,,Spanish-language Cultural Magazines from Modernismo to Avant-Garde: Processes of Modernization and Transnational Network Formation,,,,Revistas Culturales Históricas En Lengua Española,,,,,,,,,
,,"Teresa Herzgsell (Eberhard Karls Universität Tübingen), data collector",,,,09_Teresa-Herzgsell_Data-Driven-Perspectives-on-Intellectual-Heritage-Deceased.csv,,,,Spanish Studies,,,,,,,,,
,,"Hanno Ehrlicher (Eberhard Karls Universität Tübingen), principal investigator and project leader",,,,,,,,History And Philosophy,,,,,,,,,
,,,,,,,,,,Network Analysis,,,,,,,,,
,,,,,,,,,,Literary Studies,,,,,,,,,
,,,,,,,,,,Historia Y Filosofía,,,,,,,,,
,,,,,,,,,,Ciencia Literaria,,,,,,,,,
,,,,,,,,,,Texts,,,,,,,,,
,,,,,,,,,,European And American Literature,,,,,,,,,
,,,,,,,,,,Romance Philology,,,,,,,,,
,,,,,,,,,,Literatura General Y Comparada Y Estudios Culturales,,,,,,,,,
,,,,,,,,,,Gráficos,,,,,,,,,
,,,,,,,,,,Romance Studies,,,,,,,,,
,,,,,,,,,,Graphs,,,,,,,,,
,,,,,,,,,,Historical Spanish-language Cultural Magazines,,,,,,,,,
,,,,,,,,,,Texts,,,,,,,,,
,,,,,,,,,,Filología Románica,,,,,,,,,
,,,,,,,,,,Romanistik,,,,,,,,,
,,,,,,,,,,Hojas De Datos,,,,,,,,,
,,,,,,,,,,Data Sheets,,,,,,,,,
,,,,,,,,,,Digital Humanities,,,,,,,,,
,,,,,,,,,,Literatura Europea Y Americana,,,,,,,,,
,,,,,,,,,,Análisis De Redes,,,,,,,,,
,,,,,,,,,,General And Comparative Literature And Cultural Studies,,,,,,,,,
2018-12-13T16:28:45Z,doi:10.20375/0000-000B-D4F0-6,Leo Horsch,image/jpeg,image,jpeg,Abendgesellschaft im Radziwillschen Schloss Ruhberg im Hirschberger Tal,CC 0,2018-12-13T16:28:45Z,hdl:21.11113/0000-000B-D4E5-3,Geschichte,Ein Zeichnung von Elisa Radziwill. Personen: v.l: Ernestine von Langen - Unbekannt - Marie von Kleist - Prinz Adam Czartoryski (1804-1880) - Prinz Boguslaw Radziwill - Prinzessin Wanda Radziwill (1813-1845) - Unbekannt - Fürstin Luise Radziwill - Prinzessin Elisa Radziwill - Fürst Anton Radziwill,,Bild,Image,,"Bruno Henning: Elisa Radziwill. Ein Leben in Liebe und Leid, Berlin 1912",,hdl:21.11113/0000-000B-D4F0-6,hdl:21.11113/0000-000B-D4F0-6
,hdl:21.11113/0000-000B-D4F0-6,Elisa Radziwill,,,,,,,,,,,,,,,,,
2021-08-13T06:13:38Z,hdl:21.11113/0000-000E-67B2-5,Jörg Lehmann,text/plain,text,plain,C4-POS.txt,CC BY,2021-08-13T06:13:38Z,hdl:21.11113/0000-000E-6729-1,,"64 Part-of-Speech-getaggte Dramen Calderón de la Barcas, txt-Dateien, UTF-8-codiert",,,,,,,hdl:21.11113/0000-000E-67B2-5,hdl:21.11113/0000-000E-67B2-5
,doi:10.20375/0000-000E-67B2-5,,,,,,,,,,,,,,,,,,
2021-05-04T10:14:53Z,hdl:21.11113/0000-000E-0FDE-9,"Bluhm Katharina, Klimovich Stanislav, Pape Ulla",text/plain,text,plain,2019_2_Sibur_Additional Agreement_3_to SECA 2016-2020_07.06.2019.pdf,ODC BY SA,2021-05-04T10:14:53Z,hdl:21.11113/0000-000E-0F80-1,,,,,,,,,hdl:21.11113/0000-000E-0FDE-9,hdl:21.11113/0000-000E-0FDE-9
,doi:10.20375/0000-000E-0FDE-9,,,,,,,,,,,,,,,,,,
2017-12-05T12:56:17Z,hdl:21.11113/0000-000B-C9E1-4,"Mache, Beata",application/pdf,application,pdf,Universal-Kirchenzeitung-Volltext_024.pdf,CC BY,2017-12-05T12:56:17Z,hdl:21.11113/0000-000B-C8F2-2,,,deu,,,,,,hdl:21.11113/0000-000B-C9E1-4,hdl:21.11113/0000-000B-C9E1-4
,doi:10.20375/0000-000B-C9E1-4,,pdf,application,pdf,,,,,,,,,,,,,,
2021-08-02T09:08:12Z,doi:10.20375/0000-000E-66CD-9,Björn Weißenberger,application/pdf,application,pdf,Digitaloffensive im Strafrecht! Verbesserte Bekämpfung von Cyberkriminalität durch das IT-Sicherheitsgesetz 2.0?,KriPoZ,2021-08-02T09:08:12Z,hdl:21.11113/0000-000E-66C7-F,,,,,,Kriminalpolitische Zeitschrift,"KriPoZ 2019, 174 ff.",,hdl:21.11113/0000-000E-66CD-9,hdl:21.11113/0000-000E-66CD-9
,hdl:21.11113/0000-000E-66CD-9,Dr. Anna Oehmichen,,,,,,,,,,,,,,,,,
